Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri,nmo:hasMint^^uri,nmo:hasDenomination^^uri,nmo:hasStartDate^^xsd:gYear,nmo:hasEndDate^^xsd:gYear,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight,nmo:hasMinDiameter,nmo:hasMaxDiameter,nmo:hasDie^^id**1,1__nmo:hasAxis,nmo:hasObverse^^id**2,nmo:hasReverse^^id**3,2__nmo:hasContext,3__nmo:hasContext,2__nmo:hasWear,3__nmo:hasWear,2__nmo:hasCorrosion,3__nmo:hasCorrosion,2__nmo:hasLegend,3__nmo:hasLegend
afe:4,gaz:2052314,nm:av,,,,,,,7.76,,,,,,,,,,,,,,
afe:5,gaz:2052314,nm:ae,,,,,,,5.24,,,,,1,1,,Variante = Ornament unter dem Eber auf der Rs.,,,,,,
afe:6,gaz:2052314,nm:ae,,,,,,,3.79,,,,,,,,,,,,,,
afe:7,gaz:2052314,nm:ae,,,,,,,4.14,,,,,,,,,,,,,,
afe:8,gaz:2052314,nm:ae,,,,,,,4.87,,,,,,,,,,,,,,
afe:9,gaz:2052314,nm:ae,,,,,,,4.25,,,,,,,,,,,,,,
afe:10,gaz:2052314,nm:ae,,,,,,,3.84,,,,,,,,,,,,,,
afe:11,gaz:2052314,nm:ae,,,,,,,4.93,,,,,,,,,,,,,,
afe:12,gaz:2052314,nm:ae,,,,,,,2.22,,,,,,,,,,,,,,
afe:15,gaz:2052314,nm:ae,,,,,,,3.31,,,,,,,,,,,,,,
afe:16,gaz:2052314,nm:ae,,,,,,,1.79,,,,,,,,,,,,,,
afe:17,gaz:2052314,nm:ae,,nm:sestertius,1,200,,,18.77,,,,,,,,,,,,,,
afe:18,gaz:2052314,nm:ar,,nm:antoninianus,260,274,,,2.01,,,,,1,1,bärt. Kopf n. r. m. Strkr.,,,,,,,
afe:19,gaz:2052314,nm:ae,,nm:sestertius,1,200,,,14.62,,,,,,,,,,,,,,
afe:20,gaz:2052314,nm:av,,nm:stater,,,,,4.9,,,,,,,,,,,,,,
afe:21,gaz:2052314,nm:ae,,,,,,,1.38,,,,,,,,,,,,,,
afe:22,gaz:2052314,nm:ae,,,,,,,3.58,,,,,,,,,,,,,,
afe:23,gaz:2052314,nm:ae,,,,,,,4.26,,,,,,,,,,,,,,
afe:24,gaz:2052314,nm:ae,,,,,,,4.69,,,,,,,,,,,,,,
afe:26,gaz:2052314,nm:ae,,,,,,,3.3,,,,,1,1,,Punkt am oberen Abschluss des Bogenornaments.,,,,,,
afe:27,gaz:2052314,nm:ar,,,,,,,1.35,,,,,,,,,,,,,,
afe:28,gaz:2052314,nm:ae,,,,,,,2.7,,,,,,,,,,,,,,
afe:29,gaz:2052314,nm:ar,,,,,,,1.16,,,,,,,,,,,,,,
afe:31,gaz:2052314,nm:ae,,,,,,,3.38,,,,,,,,,,,,,,
afe:182,gaz:2052314,nm:ae,,,,,,,3.59,,,,,,,,,,,,,,
afe:183,gaz:2052314,nm:ae,,,,,,,4.78,,,,,,,,,,,,,,
afe:186,gaz:2052314,nm:ar,,,,,,,0.27,,,,,,,,,,,,,,
afe:191,gaz:2052314,nm:ae,,,,,,,3.1,,,,,,,,,,,,,,
afe:197,gaz:2052314,nm:ae,,,,,,,2.89,,,,,,,,,,,,,,
afe:198,gaz:2052314,nm:ar,,,,,,,1.23,,,,,,,,,,,,,,
afe:199,gaz:2052314,nm:ae,,,,,,,3.11,,,,,,,,,,,,,,
afe:204,gaz:2052314,nm:ar,,,,,,,1.37,,,,,,,,,,,,,,
afe:210,gaz:2052314,nm:ar,,,,,,,1.77,,,,,,,,,,,,,,
afe:219,gaz:2052314,nm:ae,,,,,,,4.71,,,,,,,,,,,,,,
afe:237,gaz:2052314,nm:ar,,,,,,,0.23,,,,,,,,,,,,,,
afe:238,gaz:2052314,nm:ae,,,,,,,1.92,,,,,,,,,,,,,,
afe:239,gaz:2052314,nm:ae,,,,,,,4.61,,,,,,,,,,,,,,
afe:240,gaz:2052314,nm:ae,,,,,,,1.53,,,,,,,,,,,,,,
afe:246,gaz:2052314,nm:ae,,,,,,,4.25,,,,,,,,,,,,,,
afe:247,gaz:2052314,nm:ae,,,,,,,4.72,,,,,,,,,,,,,,
afe:248,gaz:2052314,nm:ae,,,,,,,,,,,,,,,,,,,,,
afe:249,gaz:2052314,nm:ae,,,,,,,4.5,,,,,,,,,,,,,,
afe:250,gaz:2052314,nm:ae,,,,,,,3.77,,,,,,,,,,,,,,
afe:251,gaz:2052314,nm:ae,,,,,,,5.23,,,,,1,1,,Punkt über Lilie.,,,,,,
afe:253,gaz:2052314,nm:ae,,,,,,,4.36,,,,,,,,,,,,,,
afe:254,gaz:2052314,nm:ae,,,,,,,4.02,,,,,,,,,,,,,,
afe:255,gaz:2052314,nm:ae,,,,,,,4.48,,,,,,,,,,,,,,
afe:256,gaz:2052314,nm:ar,,,,,,,0.13,,,,,,,,,,,,,,
afe:257,gaz:2052314,nm:ar,,,,,,,0.18,,,,,,,,,,,,,,
afe:303,,nm:av,,nm:quarter-stater,,,,,3.0,,,,,,,,,,,,,,
afe:1678,gaz:2138050,nm:ar,nm:rome,nm:denarius,75,75,,,,,,,,,,,,,,,,,
afe:1679,gaz:2138050,nm:ar,nm:rome,nm:denarius,79,79,,,,,,,,,,,,,,,,,
afe:1680,gaz:2138050,nm:ar,nm:rome,nm:denarius,79,79,,,,,,,,,,,,,,,,,
afe:1681,gaz:2138050,nm:ar,nm:rome,nm:denarius,80,81,,,,,,,,,,,,,,,,,
afe:1682,gaz:2138050,nm:ar,nm:rome,nm:denarius,88,88,,,,,,,,1,1,,"Minerva n. l. m. Blitz u. Speer, r. am Boden Schild. IMPXVCOSXIIIICENSPPP. vgl. RIC 37.",,,,,,
afe:1683,gaz:2138050,nm:ar,nm:rome,nm:denarius,88,89,,,,,,,,1,1,IMPCAESDOMITAVG-GERMPMTRPVIII.,,,,,,,
afe:1684,gaz:2138050,nm:ar,nm:rome,nm:denarius,90,91,,,,,,,,,,,,,,,,,
afe:1685,gaz:2138050,nm:ar,nm:rome,nm:denarius,90,91,,,,,,,,,,,,,,,,,
afe:1697,gaz:2138050,nm:ar,nm:rome,nm:denarius,97,97,,,,,,,,,,,,,,,,,
afe:1698,gaz:2138050,nm:ar,nm:rome,nm:denarius,97,97,,,,,,,,,,,,,,,,,
afe:1699,gaz:2138050,nm:ar,nm:rome,nm:denarius,98,99,,,,,,,,,,,,,,,,,
afe:1700,gaz:2138050,nm:ar,nm:rome,nm:denarius,98,99,,,,,,,,1,1,,einfaches Füllhorn.,,,,,,
afe:1701,gaz:2138050,nm:ar,nm:rome,nm:denarius,98,99,,,,,,,,,,,,,,,,,
afe:1702,gaz:2138050,nm:ar,nm:rome,nm:denarius,101,102,,,,,,,,,,,,,,,,,
afe:1832,gaz:2138050,nm:ar,nm:rome,nm:denarius,101,102,,,,,,,,,,,,,,,,,
afe:1844,gaz:2138050,nm:ar,nm:rome,nm:denarius,101,102,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,
afe:1845,gaz:2138050,nm:ar,nm:rome,nm:denarius,101,102,,,,,,,,1,1,m. Ägis.,,,,,,,
afe:1846,gaz:2138050,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,
afe:1847,gaz:2138050,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,
afe:1848,gaz:2138050,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,
afe:1849,gaz:2138050,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,1,1,mit Ägis.,,,,,,,
afe:1850,gaz:2138050,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,
afe:1851,gaz:2138050,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,
afe:1852,gaz:2138050,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,
afe:1853,gaz:2138050,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,
afe:1854,gaz:2138050,nm:ar,nm:rome,nm:denarius,103,111,,,,,,,,1,1,Büste mit Ägis.,,,,,,,
afe:1855,gaz:2138050,nm:ar,nm:rome,nm:denarius,112,117,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,
afe:1856,gaz:2138050,nm:ar,nm:rome,nm:denarius,114,117,,,,,,,,1,1,drapierte Büste.,,,,,,,
afe:1857,gaz:2138050,nm:ar,nm:rome,nm:denarius,114,117,,,,,,,,1,1,drapierte Büste.,,,,,,,
afe:1858,gaz:2138050,nm:ar,nm:rome,nm:denarius,114,117,,,,,,,,,,,,,,,,,
afe:1859,gaz:2138050,nm:ar,nm:rome,nm:denarius,114,117,,,,,,,,1,1,drapierte Büste.,,,,,,,
afe:1860,gaz:2138050,nm:ar,nm:rome,nm:denarius,114,117,,,,,,,,1,1,drapierte Büste.,,,,,,,
afe:1861,gaz:2138050,nm:ar,nm:rome,nm:denarius,114,117,,,,,,,,,,,,,,,,,
afe:1862,gaz:2138050,nm:ar,nm:rome,nm:denarius,117,117,,,,,,,,,,,,,,,,,
afe:1863,gaz:2138050,nm:ar,nm:rome,nm:denarius,117,117,,,,,,,,,,,,,,,,,
afe:1864,gaz:2138050,nm:ar,nm:rome,nm:denarius,118,118,,,,,,,,,,,,,,,,,
afe:1865,gaz:2138050,nm:ar,nm:rome,nm:denarius,119,122,,,,,,,,,,,,,,,,,
afe:1866,gaz:2138050,nm:ar,nm:rome,nm:denarius,119,122,,,,,,,,,,,,,,,,,
afe:1867,gaz:2138050,nm:ar,nm:rome,nm:denarius,119,122,,,,,,,,,,,,,,,,,
afe:1868,gaz:2138050,nm:ar,nm:rome,nm:denarius,119,122,,,,,,,,,,,,,,,,,
afe:1869,gaz:2138050,nm:ar,nm:rome,nm:denarius,119,122,,,,,,,,,,,,,,,,,
afe:1870,gaz:2138050,nm:ar,nm:rome,nm:denarius,119,122,,,,,,,,,,,,,,,,,
