Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri**Ma,nmo:hasMint^^uri**Mi,nmo:hasDenomination^^uri**De,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight**We,nmo:hasMinDiameter**DMi,nmo:hasMaxDiameter**DMa,nmo:hasDie^^blank**Di,Di__nmo:hasAxis,nmo:hasObverse^^blank**Ob,nmo:hasReverse^^blank**Re,Ob__rdfs:comment,Re__rdfs:comment,Ob__nmo:hasWear**WF,Re__nmo:hasWear**WB,Ob__nmo:hasCorrosion**CF,Re__nmo:hasCorrosion**CB,Ob__nmo:hasLegend,Re__nmo:hasLegend,Ma__hasCertainty^^certainty,Mi__hasCertainty^^certainty,De__hasCertainty^^certainty,We__hasCertainty^^certainty,DMi__hasCertainty^^certainty,DMa__hasCertainty^^certainty,Di__hasCertainty^^certainty,WF__hasCertainty^^certainty,WB__hasCertainty^^certainty,CF__hasCertainty^^certainty,CB__hasCertainty^^certainty
afe:4,gaz:2052314,nm:av,,,,,7.76,,,,,,,,,,,,,,,,,,,,,,,,,
afe:5,gaz:2052314,nm:ae,,,,,5.24,,,,,1,1,,Variante = Ornament unter dem Eber auf der Rs.,,,,,,,,,,,,,,,,,
afe:6,gaz:2052314,nm:ae,,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,,,
afe:7,gaz:2052314,nm:ae,,,,,4.14,,,,,,,,,,,,,,,,,,,,,,,,,
afe:8,gaz:2052314,nm:ae,,,,,4.87,,,,,,,,,,,,,,,,,,,,,,,,,
afe:9,gaz:2052314,nm:ae,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,
afe:10,gaz:2052314,nm:ae,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11,gaz:2052314,nm:ae,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,
afe:12,gaz:2052314,nm:ae,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15,gaz:2052314,nm:ae,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,
afe:16,gaz:2052314,nm:ae,,,,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,
afe:17,gaz:2052314,nm:ae,,nm:sestertius,,,18.77,,,,,,,,,,,,,,,,,,,,,,,,,
afe:18,gaz:2052314,nm:ar,,nm:antoninianus,,,2.01,,,,,1,1,bärt. Kopf n. r. m. Strkr.,,,,,,,,,,,,,,,,,,
afe:19,gaz:2052314,nm:ae,,nm:sestertius,,,14.62,,,,,,,,,,,,,,,,,,,,,,,,,
afe:20,gaz:2052314,nm:av,,nm:stater,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
afe:21,gaz:2052314,nm:ae,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,
afe:22,gaz:2052314,nm:ae,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,
afe:23,gaz:2052314,nm:ae,,,,,4.26,,,,,,,,,,,,,,,,,,,,,,,,,
afe:24,gaz:2052314,nm:ae,,,,,4.69,,,,,,,,,,,,,,,,,,,,,,,,,
afe:26,gaz:2052314,nm:ae,,,,,3.3,,,,,1,1,,Punkt am oberen Abschluss des Bogenornaments.,,,,,,,,,,,,,,,,,
afe:27,gaz:2052314,nm:ar,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,
afe:28,gaz:2052314,nm:ae,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
afe:29,gaz:2052314,nm:ar,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,
afe:31,gaz:2052314,nm:ae,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,
afe:182,gaz:2052314,nm:ae,,,,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,
afe:183,gaz:2052314,nm:ae,,,,,4.78,,,,,,,,,,,,,,,,,,,,,,,,,
afe:186,gaz:2052314,nm:ar,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
afe:191,gaz:2052314,nm:ae,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
afe:197,gaz:2052314,nm:ae,,,,,2.89,,,,,,,,,,,,,,,,,,,,,,,,,
afe:198,gaz:2052314,nm:ar,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,
afe:199,gaz:2052314,nm:ae,,,,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,
afe:204,gaz:2052314,nm:ar,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,
afe:210,gaz:2052314,nm:ar,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,
afe:219,gaz:2052314,nm:ae,,,,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,
afe:237,gaz:2052314,nm:ar,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
afe:238,gaz:2052314,nm:ae,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,
afe:239,gaz:2052314,nm:ae,,,,,4.61,,,,,,,,,,,,,,,,,,,,,,,,,
afe:240,gaz:2052314,nm:ae,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,
afe:246,gaz:2052314,nm:ae,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,
afe:247,gaz:2052314,nm:ae,,,,,4.72,,,,,,,,,,,,,,,,,,,,,,,,,
afe:248,gaz:2052314,nm:ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:249,gaz:2052314,nm:ae,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
afe:250,gaz:2052314,nm:ae,,,,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,
afe:251,gaz:2052314,nm:ae,,,,,5.23,,,,,1,1,,Punkt über Lilie.,,,,,,,,,,,,,,,,,
afe:253,gaz:2052314,nm:ae,,,,,4.36,,,,,,,,,,,,,,,,,,,,,,,,,
afe:254,gaz:2052314,nm:ae,,,,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,
afe:255,gaz:2052314,nm:ae,,,,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,
afe:256,gaz:2052314,nm:ar,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
afe:257,gaz:2052314,nm:ar,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
afe:303,,nm:av,,nm:quarter-stater,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1678,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1679,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1680,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1681,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1682,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,,"Minerva n. l. m. Blitz u. Speer, r. am Boden Schild. IMPXVCOSXIIIICENSPPP. vgl. RIC 37.",,,,,,,,,,,,,,,,,
afe:1683,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,IMPCAESDOMITAVG-GERMPMTRPVIII.,,,,,,,,,,,,,,,,,,
afe:1684,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1685,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1697,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1698,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1699,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1700,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,,einfaches Füllhorn.,,,,,,,,,,,,,,,,,
afe:1701,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1702,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1832,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:1844,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,,,,,,,,,,,,
afe:1845,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,m. Ägis.,,,,,,,,,,,,,,,,,,
afe:1846,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,,,,,,,,,,,,
afe:1847,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,,,,,,,,,,,,
afe:1848,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,,,,,,,,,,,,
afe:1849,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,mit Ägis.,,,,,,,,,,,,,,,,,,
afe:1850,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,,,,,,,,,,,,
afe:1851,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,,,,,,,,,,,,
afe:1852,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,,,,,,,,,,,,
afe:1853,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,,,,,,,,,,,,
afe:1854,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Büste mit Ägis.,,,,,,,,,,,,,,,,,,
afe:1855,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,Drapierung an linker Schulter.,,,,,,,,,,,,,,,,,,
afe:1856,gaz:2138050,nm:ar,nm:rome,nm:denarius,,,,,,,,1,1,drapierte Büste.,,,,,,,,,,,,,,,,,,
