Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri**Ma,nmo:hasMint^^uri**Mi,nmo:hasDenomination^^uri**De,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight**We,nmo:hasMinDiameter**DMi,nmo:hasMaxDiameter**DMa,nmo:hasDie^^blank**Di,Di__nmo:hasAxis,nmo:hasObverse^^blank**Ob,nmo:hasReverse^^blank**Re,Ob__rdfs:comment,Re__rdfs:comment,Ob__nmo:hasWear**WF,Re__nmo:hasWear**WB,Ob__nmo:hasCorrosion**CF,Re__nmo:hasCorrosion**CB,Ob__nmo:hasLegend
afe:1,gaz:2049900,nm:ae,nm:pella_macedon,nm:tetradrachm,ST?,CAESAR,3.82,21.12,22.43,1,1.0,1,1,Büste mit Ägis.,"Adler, Kopf n. l.",5.0,5.0,4.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:2,gaz:2133298,nm:ar,nm:lycia,nm:denarius,(Z on L)/-//-,CAESAR,7.76,14.9,21.12,1,4.0,1,1,ANTONINVS AVG PIVS P P TR P XV.,"Reiter n. l., davor vierspeichiges Rad",1.0,1.0,4.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:3,gaz:2049740,nm:av,nm:tarraco,nm:reduced_siliqua,M/-//A[ ]I[  ]*,?,17.46,18.1,19.0,1,2.0,1,1,Büste n. r. [. ]VAFAV[.  ],Pax,2.0,3.0,1.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:4,gaz:2049608,nm:ae,nm:ostia,nm:ae1,-/-/COMOB,?,12.47,24.6,21.36,1,2.0,1,1,etwa VN ZENO REN PAVFC,Victoria n. l.? [   |OV.,0.0,2.0,3.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:5,gaz:2048655,nm:ae,nm:colonia_claudia_ara_agrippinensium,nm:antoninianus,-/-//COM,?,1.05,15.1,21.13,1,12.0,1,1,DIVVS [ANTONINVS].,A POST ... S N ALB.. . Opferer vor Stier.,0.0,1.0,5.0,4.0,...CO - NS...
afe:6,gaz:2052777,nm:av,nm:mediolanum,nm:quarter-stater,SMN(Gamma),SE (Wertz 168.2),3.53,22.8,28.0,1,12.0,1,1,IMPCAESDOMITAVG-GERMPMTRPVIII.,"Auf dem AV der Münze befindet sich eine weibliche Büste, es kann sich daher um eine Prägung für Faustina I., Faustina II., Lucilla oder Crispina handeln.",3.0,0.0,2.0,1.0,...CO - NS...
afe:7,gaz:2050073,nm:ae,nm:arelate,nm:quarter-stater,S/F//ARLS,?,4.4,22.05,22.0,1,2.0,1,1,[  ]-FAV[  ]. Kopf n. r.,HONOS.,4.0,3.0,1.0,1.0,...CO - NS...
afe:8,gaz:2044764,nm:av,nm:thessalonica,nm:quinarius,C/R//PLG,Vs.: Kranz,0.92,21.8,21.16,1,12.0,1,1,FAVSTINA [AVGUSTA].,steh. weibl. Gestalt m. erhob. R. u. Zepter.,0.0,1.0,4.0,3.0,...CO - NS...
afe:9,gaz:2049858,nm:av,nm:nicomedia,nm:as,R/M//COMOB,TIA_V,3.45,1.6,21.43,1,7.0,1,1,Kopf n. r. m. Lrbkr.,[P M TR] P COS II FEL AVG.,0.0,0.0,4.0,3.0,...CO - NS...
afe:10,gaz:2044667,nm:ar,nm:thessalonica,nm:stater,-/-//(* on XXI),TIA_V,2.43,22.05,21.12,1,4.0,1,1,,NERO CAESAR AVGVSTVS K. r.SALVS sitzt n. l.,0.0,3.0,5.0,2.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:11,gaz:2769681,nm:av,nm:mogontiacum,nm:follis,S/F//GammaSIS*,Vs.: Kranz,1.79,28.84,21.25,1,6.0,1,1,ANTONINVS AVG PIVS P P TR P XV.,[C]O[S] IIII.,2.0,5.0,5.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:12,gaz:2044353,nm:ar,nm:emerita,nm:ae3,L/Delta//-,CAESAR,4.3,16.9,21.49,1,5.0,1,1,V.: [   ]RVS-P[   ].,Altar?,5.0,3.0,2.0,4.0,...CO - NS...
afe:13,gaz:2426301,nm:billon,nm:thessalonica,nm:roman_medallion,-/XI//-,CAESAR,3.55,1.6,21.0,1,7.0,1,1,Büste mit Ägis.,"Zwei sich greifende Hände, die einen Caduceus und zwei Kornähren halten. C[. ].",3.0,3.0,2.0,4.0,...CO - NS...
afe:14,gaz:2133298,nm:ar,nm:rome,nm:denarius,-/-//A,Vs.: Kranz,0.4,21.4,21.73,1,7.0,1,1,Obv. in einem ^Klumpen^ eingebacken,I [   ] IIII,4.0,0.0,1.0,4.0,...CO - NS...
afe:15,gaz:2052787,nm:billon,nm:nicomedia,nm:semis,-/-//concord,SE (Wertz 168.2),3.84,17.4,21.91,1,7.0,1,1,DNVALENS-[   ].,"stark abgenutzter Stempel, flaue Prägung.",4.0,0.0,5.0,5.0,...CO - NS...
afe:16,gaz:2044781,nm:ar,nm:emerita,nm:sestertius,I,CAESAR,14.4,21.43,21.24,1,5.0,1,1,HADRIANVS-AVGCOSIIIPP.,Nobilitas n. l.,5.0,1.0,5.0,5.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:17,gaz:2044332,nm:ar,nm:ravenna,nm:aureus,-/Delta//-,CAESAR,14.59,16.5,22.43,1,11.0,1,1,ANTONINVS [AVG PIVS P P].,[  ]TR P COS[  ].,5.0,4.0,2.0,3.0,...CO - NS...
afe:18,gaz:2048880,nm:billon,nm:rome,nm:stater,-/-//?,SE (Wertz 168.2),19.61,16.2,21.4,1,5.0,1,1,Kopf n. r. (m. Lrbkr.).,Bruchstück der Rev.(?)-Legende: ... SPMT ...,5.0,4.0,5.0,4.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:19,gaz:2048846,nm:ar,nm:emerita,nm:sestertius,R/F//?,CAESAR,1.95,14.9,21.59,1,5.0,1,1,HADRIANVS AVG COS III PPP,Punkt am oberen Abschluss des Bogenornaments.,5.0,5.0,2.0,3.0,...CO - NS...
afe:20,gaz:2050232,nm:ae,nm:treveri,nm:quarter-stater,-/-//II,Vs.: Kranz,2.74,31.3,1.6,1,5.0,1,1,Vs. drap. Büste n. r. Pseudobuchstaben.,Kopf n. r. (m. Lrbkr.).,1.0,0.0,1.0,3.0,...CO - NS...
afe:21,gaz:2049608,nm:av,nm:ostia,nm:antoninianus,R/M//COMOB,SE (Wertz 168.2),10.25,21.0,21.4,1,8.0,1,1,Kopf n. r. m. Lrbkr.,einfaches Füllhorn.,0.0,3.0,2.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:22,gaz:2050006,nm:av,nm:colonia_claudia_ara_agrippinensium,nm:siliqua,R/V//COMOB,TIA_V,2.86,11.0,21.4,1,2.0,1,1,AIITONI - NVS DIVS PPIPPXII III.,"Fecunditas, drapiert, steht nach links zwischen zwei Kindern, die sich nach oben strecken, und hält zwei Säuglinge in ihren Armen. UITIOAVA[ ]VF(spiegelverkehrt)IIOC(spiegelverkehrt)IIX.",2.0,4.0,5.0,1.0,...CO - NS...
afe:23,gaz:2044341,nm:ar,nm:colonia_patricia,nm:ae2,-/?//ALE,CAESAR,10.54,22.0,18.3,1,6.0,1,1,IMPMIVL[  ] ?,CONSECRATIO.,4.0,1.0,2.0,1.0,...CO - NS...
afe:24,gaz:2044319,nm:ar,nm:laodiceia_ad_mare,nm:ae3,-/-//V,TIA_V,0.29,17.3,28.84,1,1.0,1,1,"Kopf n. r. [  ]VESP[  ] oberhalb des Kopfes, gegen den Uhrzeigersinn.","steh. Gestalt n. l., r. Altar (?). VAD(spiegelverkehrt)?(spiegelverkehrt)TNIIN-D(spiegelverkehrt)IN[  ]IOV",4.0,0.0,1.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
afe:25,gaz:2048597,nm:ar,nm:ostia,nm:aureus,-/-//TRS(Punkt),CAESAR,21.24,21.4,21.16,1,5.0,1,1,IMPCAESDOMITAVG-GERMPMTRPVIII.,[P M TR] P COS II FEL AVG.,3.0,4.0,1.0,3.0,[AN]TONI[IN]VS [PI]VS [AVG GERM oder BRIT bzw. FEL AVG]
